时间序号,归一化流量,归一化液位,归一化设备性能,归一化温度,设备前端可能的影响因素1,设备前端可能的影响因素2,设备前端可能的影响因素3
72,0.515897108,0.880758808,0.265165031,0.597238975,0.559793405,0.248933144,0.786430523
73,0.531394792,0.876371145,0.265090693,0.596125084,0.56336909,0.199146515,0.767045425
74,0.53427065,0.908246225,0.27029438,0.595753685,0.564958284,0.199146515,0.772727259
75,0.533152261,0.915214866,0.270517455,0.594515791,0.564560985,0.184921764,0.794451954
76,0.520530436,0.881791199,0.265016414,0.594268395,0.569725864,0.199146515,0.771056293
77,0.004154018,0.930700736,0.306943259,0.593154503,0.558998808,0.199146515,0.765708775
78,0.025243649,0.92192541,0.305605132,0.59216431,0.574890743,0.184921764,0.781083005
79,0.551206263,0.908375274,0.267395183,0.590926416,0.562177195,0.220483642,0.741644484
80,0.521968366,0.881920248,0.264198692,0.588946029,0.567739372,0.20625889,0.753008151
81,0.536507429,0.881275003,0.264942076,0.586965642,0.571315058,0.192034139,0.768382381
82,0.533152261,0.877145438,0.264049955,0.585975449,0.550258244,0.277382646,0.660093529
83,0.527240773,0.903342367,0.26843592,0.583995062,0.570917759,0.156472262,0.749331598
84,0.533471801,0.930958833,0.271855486,0.583499965,0.554628526,0.106685633,0.741644484
85,0.51078447,0.877403536,0.264421647,0.58560405,0.559396106,0.113798009,0.767379741
86,0.51238217,0.895986579,0.267246566,0.589441126,0.569328566,0.120910384,0.740641843
87,0.026042499,0.873532069,0.296684526,0.595753685,0.562574493,0.085348506,0.765040144
88,0.02380572,0.872112531,0.296461475,0.599219362,0.57568534,0.092460882,0.774398224
89,0.537945359,0.921151116,0.270814749,0.604417725,0.56336909,0.135135135,0.736630975
90,0.528199393,0.919086334,0.270814749,0.608997598,0.571315058,0.12802276,0.738970571
91,0.539223518,0.92786166,0.27259887,0.615062457,0.56575288,0.12802276,0.734960009
92,0.532193641,0.869144406,0.263678263,0.62026082,0.573301549,0.177809388,0.687165742
93,0.525962614,0.86862821,0.263678263,0.62174611,0.5609853,0.142247511,0.738302246
94,0.528998243,0.881145954,0.265685459,0.620755917,0.56575288,0.135135135,0.762700547
95,0.530755712,0.900503291,0.269030687,0.620879919,0.559793405,0.241820768,0.743649765
96,0.533471801,0.907471932,0.269997026,0.620384823,0.570123162,0.213371266,0.747660327
97,0.013101134,0.880758808,0.298468665,0.62026082,0.572506953,0.220483642,0.751002564
98,0.022048251,0.930700736,0.3070919,0.618156735,0.562971792,0.184921764,0.870321075
99,0.525802844,0.87095109,0.263009218,0.617166542,0.577671832,0.263157895,0.738970571
100,0.519571817,0.916247258,0.271558115,0.615186155,0.568533969,0.27027027,0.737299606
101,0.53602812,0.867982966,0.263455308,0.61308207,0.577671832,0.263157895,0.754679117
102,0.532033871,0.912246742,0.271409456,0.612339273,0.568136671,0.291607397,0.718248517
103,0.529158012,0.885275519,0.265908415,0.611720478,0.585617799,0.27027027,0.737299606
104,0.51254194,0.888501742,0.267023491,0.607883402,0.566547477,0.27027027,0.733289044
105,0.532992491,0.885920764,0.266503182,0.607388305,0.578863727,0.327169275,0.648395852
106,0.527400543,0.863337205,0.26241457,0.604665426,0.570917759,0.27027027,0.71356963
107,0.017574692,0.890695574,0.299881112,0.604046631,0.583234009,0.220483642,0.712566989
108,0.009905736,0.88050071,0.298022652,0.60355123,0.586015097,0.078236131,0.801805059
109,0.541460297,0.923861143,0.272078537,0.606398112,0.588398888,0.184921764,0.708556121
110,0.531075252,0.895470383,0.267766875,0.610235188,0.589590783,0.135135135,0.750334239
111,0.529477552,0.895341334,0.267841213,0.61456736,0.591974573,0.092460882,0.779411733
112,0.53411088,0.8757259,0.264644722,0.619394629,0.585617799,0.099573257,0.756016073
113,0.51238217,0.877661634,0.264570384,0.624345596,0.608661104,0.12802276,0.75000023
114,0.533471801,0.916892502,0.271706845,0.628553766,0.585617799,0.170697013,0.708556121
115,0.516216648,0.881145954,0.265982753,0.633504733,0.607469209,0.227596017,0.653075045
116,0.0228471,0.926313073,0.305976824,0.634247226,0.600715137,0.199146515,0.687834373
117,0.010544815,0.904890954,0.302408546,0.635361422,0.617401669,0.199146515,0.710895718
118,0.536826969,0.918570138,0.270591793,0.632885939,0.605880016,0.320056899,0.594585435
119,0.542259147,0.868499161,0.262637526,0.635732821,0.626539531,0.220483642,0.715240595
120,0.519412047,0.901406633,0.269253643,0.633876132,0.627334128,0.220483642,0.716577552
121,0.525163764,0.90063234,0.269327981,0.630286757,0.629717918,0.248933144,0.781083005
122,0.512861479,0.895986579,0.268584597,0.631895745,0.6340882,0.234708393,0.70655084
123,0.518932737,0.904503807,0.269997026,0.627439875,0.632101708,0.227596017,0.712901305
124,0.513979869,0.887211253,0.267618258,0.629296564,0.644815256,0.199146515,0.745989361
125,0.530755712,0.917021551,0.272301499,0.627068476,0.636074692,0.234708393,0.706216524
126,0.02380572,0.873790166,0.297353589,0.626573379,0.653953119,0.213371266,0.719919789
127,0.020450551,0.912246742,0.303895314,0.625459488,0.65117203,0.220483642,0.720254104
128,0.536187889,0.928248806,0.272227178,0.623479101,0.663090981,0.277382646,0.647727221
129,0.521169516,0.919086334,0.271409456,0.623726497,0.659515296,0.234708393,0.692513566
130,0.515258028,0.8875984,0.266651799,0.622488908,0.677393723,0.220483642,0.694518847
131,0.515737338,0.923861143,0.273193613,0.62236521,0.663090981,0.227596017,0.662767441
132,0.523725835,0.900245193,0.268584597,0.625211787,0.655939611,0.142247511,0.692513566
133,0.529158012,0.918570138,0.27252455,0.628306065,0.628923321,0.106685633,0.706885156
134,0.524684454,0.861788618,0.262711924,0.633257337,0.62932062,0.06401138,0.745655352
135,0.51190286,0.873144922,0.264198692,0.637217806,0.658323401,0.056899004,0.733289044
136,0.005432178,0.886953155,0.298766036,0.642416474,0.673023441,0.049786629,0.733289044
137,0.003514938,0.880887856,0.297799602,0.645015656,0.67063965,0.085348506,0.697861085
138,0.529637322,0.869273455,0.262340232,0.650214324,0.672228844,0.142247511,0.656417282
139,0.524844224,0.869015357,0.262860541,0.658383572,0.696066746,0.142247511,0.663435766
140,0.53522927,0.883081688,0.266726137,0.659868557,0.690901867,0.142247511,0.671457196
141,0.514139639,0.890824623,0.267618258,0.659002062,0.690107271,0.227596017,0.55748651
142,0.530116632,0.889146987,0.267246566,0.65937346,0.694477553,0.177809388,0.664772722
143,0.51094424,0.882307395,0.266503182,0.662839137,0.694477553,0.199146515,0.664772722
144,0.531554561,0.899599948,0.269848409,0.661106451,0.703615415,0.220483642,0.700200681
145,0.510464931,0.914311524,0.27259887,0.65999256,0.708382996,0.227596017,0.649732502
146,0.003674708,0.907859079,0.303003289,0.659002062,0.712355979,0.220483642,0.659425204
147,0.005751718,0.87224158,0.296907577,0.656774279,0.71712356,0.234708393,0.659759519
148,0.540821217,0.901406633,0.268212905,0.653803699,0.715137068,0.241820768,0.646390264
149,0.544495926,0.923344948,0.2727476,0.650338022,0.711958681,0.234708393,0.64538793
150,0.517175268,0.881145954,0.265908415,0.648233937,0.715137068,0.234708393,0.6617648
151,0.509985621,0.873919215,0.265462385,0.645139658,0.719904648,0.284495021,0.599598944
152,0.508547691,0.87340302,0.265834077,0.648357635,0.740961462,0.263157895,0.627673797
153,0.532033871,0.882952639,0.266503182,0.64773884,0.737783075,0.227596017,0.644719299
154,0.514459179,0.915731062,0.272004216,0.645387054,0.744139849,0.277382646,0.539772684
155,0.515737338,0.905665247,0.269699673,0.644396861,0.735399285,0.20625889,0.613302208
156,0.02380572,0.867337721,0.295197758,0.646500946,0.699245133,0.163584637,0.64538793
157,0.019971241,0.930571687,0.306422837,0.650338022,0.670242352,0.113798009,0.746992002
158,0.532832721,0.927603562,0.271855486,0.655907783,0.669845054,0.078236131,0.709224752
159,0.539543058,0.872499677,0.263455308,0.659744859,0.735399285,0.06401138,0.703208603
160,0.524844224,0.893405601,0.267766875,0.66296314,0.73897497,0.092460882,0.679144311
161,0.51094424,0.894567041,0.268287303,0.666923914,0.744537147,0.163584637,0.621991964
162,0.51094424,0.920247774,0.272821921,0.670513289,0.747318236,0.163584637,0.620655314
163,0.526282154,0.87224158,0.264421647,0.670884688,0.745331744,0.170697013,0.623663235
164,0.533471801,0.912891986,0.271781166,0.672617374,0.747318236,0.241820768,0.551804983
165,0.515577568,0.891857014,0.268956289,0.673731265,0.748907429,0.199146515,0.625668516
166,0.020290781,0.863982449,0.295272079,0.675340558,0.742550656,0.20625889,0.644719299
167,0.005591948,0.922699703,0.305456491,0.671998579,0.754469607,0.256045519,0.567179212
168,0.545454545,0.915085818,0.271186441,0.670636987,0.762415574,0.241820768,0.625334507
169,0.536507429,0.922699703,0.273267933,0.668532902,0.767580453,0.256045519,0.62332892
170,0.53554881,0.861788618,0.262340232,0.66593372,0.769964243,0.220483642,0.645053614
171,0.537146509,0.926442122,0.273936997,0.668285201,0.767977751,0.248933144,0.609625655
172,0.522607445,0.872112531,0.265313767,0.665067225,0.77552642,0.199146515,0.643716658
173,0.51238217,0.886307911,0.267097829,0.662715439,0.779896702,0.192034139,0.649398492
174,0.51206263,0.877274487,0.265685459,0.660363654,0.781883194,0.241820768,0.597259347
175,0.531235022,0.885146471,0.267469521,0.65850727,0.784664283,0.20625889,0.628676438
176,0.025403419,0.909536714,0.30330066,0.658135871,0.774731824,0.20625889,0.634692587
177,0.369707621,0.879855465,0.265016414,0.656774279,0.787048073,0.320056899,0.493315373
178,0.531714331,0.906955736,0.269476717,0.652318408,0.783869686,0.234708393,0.582219127
179,0.513660329,0.896244677,0.269179304,0.65070942,0.753277712,0.192034139,0.604278137
180,0.532033871,0.879855465,0.266205769,0.653060901,0.709177592,0.142247511,0.698863725
181,0.513021249,0.870305846,0.264421647,0.653060901,0.706793802,0.113798009,0.660093529
182,0.53395111,0.869918699,0.264570384,0.6534323,0.733412793,0.092460882,0.664438713
183,0.518133887,0.895986579,0.268584597,0.65070942,0.79261025,0.12802276,0.622326279
184,0.531394792,0.915472964,0.2727476,0.651080819,0.794994041,0.184921764,0.569852818
185,0.021728711,0.908762421,0.303077609,0.653184904,0.794596742,0.177809388,0.57887689
186,0.02332641,0.872112531,0.296833167,0.65219471,0.795391339,0.177809388,0.594585435
187,0.541300527,0.882178346,0.265536723,0.649471526,0.793404847,0.256045519,0.517045348
188,0.520210896,0.867337721,0.26338091,0.650833118,0.791418355,0.213371266,0.59491975
189,0.537945359,0.882436443,0.265536723,0.648110239,0.796980532,0.234708393,0.577205924
190,0.517494807,0.921796361,0.271929807,0.645758453,0.798172427,0.284495021,0.559492098
191,0.532992491,0.87340302,0.265016414,0.647367441,0.795391339,0.241820768,0.581216486
192,0.51142355,0.882049297,0.266428843,0.646996043,0.798172427,0.227596017,0.597593663
193,0.514778719,0.903600465,0.270071365,0.645015656,0.798967024,0.227596017,0.595254066
194,0.524045375,0.868757259,0.264124294,0.645882151,0.798172427,0.227596017,0.598930619
195,0.005112638,0.881791199,0.298617306,0.645015656,0.803734605,0.192034139,0.617981401
196,0.002396549,0.925022584,0.306125465,0.644891958,0.782677791,0.199146515,0.621991964
197,0.524364915,0.867982966,0.26241457,0.643035574,0.802940008,0.256045519,0.562165704
198,0.527240773,0.900245193,0.268881951,0.643035574,0.803337306,0.227596017,0.589237917
199,0.53459019,0.913795328,0.271706845,0.64328297,0.806118395,0.227596017,0.58689832
200,0.53443042,0.913279133,0.271706845,0.641921377,0.809296782,0.305832148,0.495989285
201,0.516855728,0.924119241,0.273267933,0.642169078,0.810488677,0.227596017,0.57887689
202,0.531874101,0.881533101,0.266726137,0.641673981,0.806912992,0.241820768,0.571189775
203,0.518453427,0.875596851,0.265462385,0.64328297,0.762415574,0.20625889,0.587232636
204,0.005591948,0.873015873,0.296981897,0.642416474,0.735399285,0.184921764,0.606283418
205,0.008467806,0.879081172,0.298022652,0.642540172,0.799761621,0.12802276,0.643048027
206,0.547691324,0.869273455,0.26241457,0.641673981,0.811680572,0.142247511,0.614973174
207,0.523725835,0.873790166,0.264124294,0.642664175,0.814461661,0.199146515,0.585227354
208,0.518293657,0.866047232,0.263455308,0.641302583,0.814064362,0.220483642,0.569518809
209,0.531554561,0.862304814,0.263009218,0.641302583,0.810488677,0.199146515,0.595254066
210,0.51206263,0.868499161,0.263009218,0.639074495,0.810885975,0.248933144,0.537767403
211,0.532672951,0.862304814,0.262042878,0.639074495,0.805721097,0.220483642,0.591911829
212,0.521329286,0.91005291,0.271409456,0.637589205,0.811680572,0.234708393,0.588903907
213,0.003674708,0.918570138,0.304936069,0.636351616,0.804131903,0.291607397,0.560829054
214,0.02268733,0.889276036,0.299881112,0.635732821,0.811283274,0.248933144,0.593248479
215,0.521808596,0.884243128,0.265611062,0.634371229,0.816050854,0.248933144,0.590574873
216,0.53395111,0.862562911,0.261671186,0.633381035,0.806118395,0.213371266,0.709559068
217,0.513660329,0.883726933,0.265759798,0.631400648,0.815256257,0.27027027,0.600267575
218,0.513979869,0.899728997,0.268064228,0.629420262,0.816050854,0.248933144,0.619318358
219,0.531874101,0.894567041,0.268287303,0.627934971,0.814858959,0.234708393,0.640374421
220,0.53411088,0.926054975,0.273639625,0.626325983,0.819229241,0.284495021,0.595588382
221,0.005272408,0.915214866,0.304415736,0.625706884,0.817640048,0.27027027,0.628008113
222,0.02428503,0.91237579,0.303895314,0.625088089,0.818037346,0.263157895,0.631684666
223,0.525323534,0.887340302,0.265313767,0.624221594,0.820421136,0.312944523,0.570855765
224,0.517015498,0.883339786,0.265834077,0.6238505,0.822804926,0.277382646,0.613970533
225,0.53586835,0.879597367,0.265090693,0.622984004,0.799761621,0.220483642,0.63870315
226,0.525323534,0.92308685,0.2727476,0.625211787,0.746920938,0.234708393,0.668114959
227,0.533152261,0.918570138,0.272375908,0.626078283,0.732220898,0.142247511,0.687834373
228,0.532832721,0.913021035,0.271037764,0.627687575,0.73897497,0.092460882,0.72058842
229,0.018533312,0.914053426,0.303598032,0.630410455,0.818037346,0.099573257,0.712232674
230,0.013580444,0.880242612,0.297799602,0.634123528,0.816050854,0.149359886,0.674131109
231,0.544016616,0.886307911,0.264867678,0.637465507,0.818434644,0.192034139,0.650401133
232,0.514459179,0.88282359,0.265834077,0.640807486,0.817242749,0.199146515,0.642714018
233,0.515098259,0.875467802,0.264644722,0.642911571,0.812872467,0.227596017,0.630013394
234,0.514299409,0.880629759,0.265759798,0.64328297,0.817242749,0.227596017,0.636363859
235,0.51254194,0.898438508,0.268881951,0.644520559,0.813667064,0.227596017,0.651403773
236,0.510305161,0.90063234,0.269179304,0.645139658,0.804131903,0.305832148,0.580882477
237,0.513660329,0.884114079,0.266205769,0.644396861,0.816845451,0.241820768,0.65374337
238,0.02364595,0.913795328,0.304044044,0.644273163,0.81962654,0.263157895,0.650735448
239,0.547212015,0.912246742,0.269774071,0.644644562,0.795391339,0.355618777,0.602272856
240,0.53602812,0.880371661,0.265462385,0.643530366,0.81962654,0.27027027,0.652072404
241,0.520370666,0.885791715,0.266057151,0.642045075,0.818831943,0.277382646,0.642379702
242,0.53474996,0.927087366,0.272673191,0.641302583,0.809296782,0.256045519,0.667112319
243,0.510145391,0.865272938,0.262637526,0.640931184,0.800556218,0.263157895,0.657419923
244,0.51126378,0.884114079,0.266726137,0.638579398,0.823996822,0.284495021,0.640708737
245,0.516056878,0.876113047,0.265090693,0.637960604,0.815653556,0.263157895,0.661430485
246,0.002875859,0.925538779,0.306199875,0.636475314,0.823599523,0.298719772,0.633021622
247,0.531394792,0.928506904,0.271706845,0.635237724,0.808502185,0.248933144,0.66878359
248,0.540341908,0.92424829,0.272078537,0.633381035,0.822407628,0.20625889,0.676805021
249,0.53490973,0.902051878,0.268956289,0.633009637,0.813667064,0.291607397,0.561497379
250,0.53490973,0.909794812,0.270071365,0.634494927,0.769169646,0.184921764,0.672794153
251,0.527879853,0.877790683,0.264942076,0.637836906,0.753277712,0.120910384,0.72159106
252,0.517494807,0.9052781,0.269699673,0.641921377,0.789034565,0.113798009,0.738636256
253,0.025243649,0.887082204,0.298766036,0.645263356,0.820421136,0.113798009,0.723930657
254,0.021728711,0.929281198,0.306199875,0.649347828,0.804131903,0.135135135,0.732286097
255,0.542418917,0.885791715,0.265834077,0.654051399,0.808502185,0.149359886,0.71490628
256,0.515417798,0.906052394,0.269848409,0.659497463,0.813269766,0.192034139,0.681818224
257,0.53395111,0.864111498,0.263009218,0.66444843,0.810885975,0.184921764,0.683823505
258,0.514139639,0.888630791,0.266800535,0.667047612,0.812872467,0.170697013,0.704879874
259,0.512861479,0.910311008,0.271558115,0.665438319,0.817242749,0.227596017,0.653409361
260,0.532033871,0.927345464,0.273490984,0.662839137,0.821215733,0.220483642,0.682486549
261,0.004313788,0.873273971,0.297056218,0.661106451,0.825586015,0.241820768,0.685828786
262,0.541939607,0.870176797,0.26293488,0.659249762,0.827969805,0.362731152,0.568850484
263,0.522447675,0.888114595,0.266577461,0.661106451,0.816050854,0.277382646,0.657085607
264,0.537146509,0.900503291,0.268807612,0.658754666,0.818831943,0.263157895,0.669785925
265,0.513021249,0.866563428,0.263827,0.660487657,0.803734605,0.241820768,0.686497417
266,0.53490973,0.886824106,0.267172227,0.658754666,0.818037346,0.263157895,0.674799434
267,0.514299409,0.910311008,0.271483794,0.656774279,0.822407628,0.256045519,0.672794153
268,0.007349417,0.908762421,0.30322634,0.655041593,0.825586015,0.248933144,0.673462784
269,0.002716089,0.878177829,0.297948243,0.653060901,0.830750894,0.27027027,0.645721939
270,0.526441924,0.885146471,0.265611062,0.65219471,0.822407628,0.248933144,0.652072404
271,0.536347659,0.922570654,0.272450229,0.648357635,0.832340087,0.241820768,0.653409361
272,0.517974117,0.876500194,0.264198692,0.645263356,0.830353596,0.241820768,0.599598944
273,0.513979869,0.871596335,0.26293488,0.64773884,0.818434644,0.177809388,0.634692587
274,0.51094424,0.898954704,0.267841213,0.65046172,0.789034565,0.149359886,0.66076216
275,0.532513181,0.916118209,0.271483794,0.654422493,0.82439412,0.220483642,0.611965252
276,0.004793098,0.887340302,0.298617306,0.658012173,0.82677791,0.142247511,0.654077379
277,0.551685573,0.918957285,0.269550996,0.661725246,0.8291617,0.163584637,0.635026903
278,0.520849976,0.86862821,0.262488849,0.668408899,0.817242749,0.135135135,0.59391711
279,0.513820099,0.880242612,0.265536723,0.674845157,0.817242749,0.184921764,0.627005472
280,0.51254194,0.867208672,0.263232233,0.681034018,0.808502185,0.156472262,0.658088248
281,0.519252277,0.880242612,0.266057151,0.685242492,0.808104887,0.170697013,0.646390264
282,0.530755712,0.919344432,0.272375908,0.68511849,0.815653556,0.241820768,0.588235276
283,0.53602812,0.928377855,0.273639625,0.6838809,0.817640048,0.220483642,0.608623015
284,0.005751718,0.87456446,0.297130538,0.682147909,0.821613031,0.234708393,0.608623015
285,0.012781595,0.915085818,0.304192685,0.678806235,0.82677791,0.305832148,0.536096437
286,0.542898227,0.8638534,0.26152245,0.676083051,0.828367104,0.256045519,0.591243504
287,0.526282154,0.920247774,0.273267933,0.672493676,0.828764402,0.248933144,0.597593663
288,0.53379134,0.871983482,0.264347309,0.672617374,0.821215733,0.227596017,0.544786193
289,0.516695958,0.905536198,0.269699673,0.673731265,0.817242749,0.256045519,0.586564311
290,0.530436172,0.875080656,0.264719001,0.675587954,0.812475169,0.248933144,0.603609812
291,0.513500559,0.907988128,0.270517455,0.672245975,0.816448153,0.227596017,0.625668516
292,0.515897108,0.913021035,0.271260839,0.670513289,0.825586015,0.263157895,0.596925338
293,0.5106247,0.870434895,0.264347309,0.667295008,0.825586015,0.256045519,0.58455903
294,0.005112638,0.880242612,0.298245614,0.667666407,0.827175209,0.27027027,0.58689832
295,0.004793098,0.874306362,0.297056218,0.665314621,0.830750894,0.284495021,0.555481229
296,0.543057996,0.869015357,0.262637526,0.66444843,0.825586015,0.20625889,0.588569592
297,0.540501678,0.906568589,0.269327981,0.662839137,0.820421136,0.192034139,0.591577513
298,0.522607445,0.880242612,0.264495986,0.665562322,0.807707588,0.291607397,0.485962573
299,0.53474996,0.876371145,0.264644722,0.670884688,0.819229241,0.177809388,0.602941181
300,0.532672951,0.905536198,0.269179304,0.674226362,0.82677791,0.192034139,0.589237917
301,0.524364915,0.928765002,0.273416574,0.676701845,0.825586015,0.263157895,0.519050936
302,0.51142355,0.881791199,0.265834077,0.679177329,0.822407628,0.192034139,0.57854288
303,0.51190286,0.909278617,0.270443057,0.680043824,0.822407628,0.177809388,0.582553442
304,0.02348618,0.86153052,0.294603015,0.679796428,0.826380612,0.184921764,0.599933259
305,0.016935613,0.907213834,0.302780238,0.679548728,0.825188717,0.227596017,0.567847537
306,0.530276402,0.889663182,0.266428843,0.680538921,0.82201033,0.234708393,0.577205924
307,0.539862598,0.896115628,0.268138567,0.681776815,0.816448153,0.227596017,0.591577513
308,0.513340789,0.868112014,0.263603925,0.683509501,0.823996822,0.291607397,0.540106999
309,0.51206263,0.888372693,0.267618258,0.681776815,0.826380612,0.256045519,0.583222073
310,0.519092507,0.928119757,0.273490984,0.679177329,0.828764402,0.263157895,0.569852818
311,0.517814347,0.918699187,0.272673191,0.676454449,0.828764402,0.33428165,0.516711033
312,0.529956862,0.877403536,0.26613149,0.674474063,0.830750894,0.27027027,0.566510581
313,0.513340789,0.887985547,0.267320844,0.672369978,0.831942789,0.248933144,0.57854288
